Time,No. of collectors,Species,FruitRipe.g,FruitRipe.num,FruitUnripe.g,SeedRipe.g,SeedRipe.num,SeedUnripe.g,SeedUnripe.num,果实附属物.g,果实碎片.num,Leaf.g,Flower.g
2012.07.30,NGS082,山榄叶柿,,,,,,,,,,0.2,
2012.07.30,NGS051,桑枝米碎木,,,,,,,,,,0.57,
2012.07.30,NGS054,桑枝米碎木,,,,,,,,,,0.89,
2012.07.30,NGS055,桑枝米碎木,,,,,,,,,,1.81,
2012.07.30,NGS059,桑枝米碎木,,,,,,,,,,0.48,
2012.07.30,NGS067,三角车,,,,,,,,,,0.45,
2012.07.30,NGS088,三角车,,,,,,,,,,5.5,
2012.07.30,NGS060,榕树,,,,,,,,,,1.08,
2012.07.30,NGS065,榕树,,,,,,,,,,0.64,
2012.07.30,NGS067,榕树,,,,,,,,,,2,
2012.07.30,NGS013,日本五月茶,,,,,,,,,,1.02,
2012.07.30,NGS014,日本五月茶,,,,,,,,,,0.41,
2012.07.30,NGS016,日本五月茶,,,,,,,,,,0.51,
2012.07.30,NGS023,日本五月茶,,,,,,,,,,0.8,
2012.07.30,NGS053,清香木,,,,,,,,,,0.6,
2012.07.30,NGS056,清香木,,,,,,,,,,2.2,
2012.07.30,NGS003,青叶苎麻,,,,,,,,,,0.31,
2012.07.30,NGS007,青叶苎麻,,,,,,,,,,0.59,
2012.07.30,NGS010,青叶苎麻,,,,,,,,,,0.35,
2012.07.30,NGS046,青叶苎麻,,,,,,,,,,1.89,
2012.07.30,NGS062,青叶苎麻,,,,,,,,,,1.3,
2012.07.30,NGS003,苹婆,,,,,,,,,,0.37,
2012.07.30,NGS008,苹婆,,,,,,,,,,0.4,
2012.07.30,NGS010,苹婆,,,,,,,,,,2.97,
2012.07.30,NGS011,苹婆,,,,,,,,,,0.92,
2012.07.30,NGS015,苹婆,,,,,,,,,,1.25,
2012.07.30,NGS017,苹婆,,,,,,,,,,1.46,
2012.07.30,NGS018,苹婆,,,,,,,,,,0.96,
2012.07.30,NGS019,苹婆,,,,,,,,,,1.34,
2012.07.30,NGS020,苹婆,,,,,,,,,,1.77,
2012.07.30,NGS021,苹婆,,,,,,,,,,0.5,
2012.07.30,NGS023,苹婆,,,,,,,,,,0.42,
2012.07.30,NGS027,苹婆,,,,,,,,,,0.69,
2012.07.30,NGS031,苹婆,,,,,,,,,,2.51,
2012.07.30,NGS036,苹婆,,,,,,,,,,1.23,
2012.07.30,NGS038,苹婆,,,,,,,,,,0.94,
2012.07.30,NGS044,苹婆,,,,,,,,,,1.37,
2012.07.30,NGS066,苹婆,,,,,,,,,,0.38,
2012.07.30,NGS072,苹婆,,,,,,,,,,1.86,
2012.07.30,NGS073,苹婆,,,,,,,,,,1.71,
2012.07.30,NGS077,苹婆,,,,,,,,,,0.62,
2012.07.30,NGS021,苹果榕,,,,,,,,,,3.09,
2012.07.30,NGS008,米仔兰,,,,,,,,,,0.29,
2012.07.30,NGS023,米仔兰,,,,,,,,,,0.56,
2012.07.30,NGS038,米仔兰,,,,,,,,,,0.75,
2012.07.30,NGS006,米扬噎,,,,,,,,,,5.23,
2012.07.30,NGS007,米扬噎,,,,,,,,,,1.03,
2012.07.30,NGS070,米扬噎,,,,,,,,,,1.4,
2012.07.30,NGS072,米扬噎,,,,,,,,,,6,
2012.07.30,NGS074,米扬噎,,,,,,,,,,0.7,
2012.07.30,NGS062,岭南酸枣,,,,,,,,,,1.36,
2012.07.30,NGS005,劲直刺桐,,,,,,,,,,0.28,
2012.07.30,NGS016,劲直刺桐,,,,,,,,,,1.8,
2012.07.30,NGS019,劲直刺桐,,,,,,,,,,0.55,
2012.07.30,NGS022,劲直刺桐,,,,,,,,,,2.74,
2012.07.30,NGS024,劲直刺桐,,,,,,,,,,2.35,
2012.07.30,NGS025,劲直刺桐,,,,,,,,,,0.53,
2012.07.30,NGS028,劲直刺桐,,,,,,,,,,1.52,
2012.07.30,NGS031,劲直刺桐,,,,,,,,,,4.65,
2012.07.30,NGS032,劲直刺桐,,,,,,,,,,1.07,
2012.07.30,NGS033,劲直刺桐,,,,,,,,,,0.36,
2012.07.30,NGS035,劲直刺桐,,,,,,,,,,2.38,
2012.07.30,NGS037,劲直刺桐,,,,,,,,,,0.29,
2012.07.30,NGS039,劲直刺桐,,,,,,,,,,0.68,
2012.07.30,NGS040,劲直刺桐,,,,,,,,,,0.51,
2012.07.30,NGS041,劲直刺桐,,,,,,,,,,0.56,
2012.07.30,NGS042,劲直刺桐,,,,,,,,,,0.75,
2012.07.30,NGS044,劲直刺桐,,,,,,,,,,0.75,
2012.07.30,NGS045,劲直刺桐,,,,,,,,,,1.48,
2012.07.30,NGS063,劲直刺桐,,,,,,,,,,3.51,
2012.07.30,NGS070,劲直刺桐,,,,,,,,,,1.91,
2012.07.30,NGS071,劲直刺桐,,,,,,,,,,1.15,
2012.07.30,NGS072,劲直刺桐,,,,,,,,,,0.41,
2012.07.30,NGS074,劲直刺桐,,,,,,,,,,2.23,
2012.07.30,NGS076,劲直刺桐,,,,,,,,,,2.1,
2012.07.30,NGS078,劲直刺桐,,,,,,,,,,0.96,
2012.07.30,NGS080,劲直刺桐,,,,,,,,,,0.86,
2012.07.30,NGS083,劲直刺桐,,,,,,,,,,2.6,
2012.07.30,NGS085,劲直刺桐,,,,,,,,,,0.42,
2012.07.30,NGS086,劲直刺桐,,,,,,,,,,0.5,
2012.07.30,NGS010,金丝李,,,,,,,,,,1.36,
2012.07.30,NGS017,金丝李,,,,,,,,,,0.82,
2012.07.30,NGS024,金丝李,,,,,,,,,,1.32,
2012.07.30,NGS030,金丝李,,,,,,,,,,0.79,
2012.07.30,NGS036,金丝李,,,,,,,,,,1.43,
2012.07.30,NGS041,金丝李,,,,,,,,,,3.39,
2012.07.30,NGS080,金丝李,,,,,,,,,,3.5,
2012.07.30,NGS081,金丝李,,,,,,,,,,0.55,
2012.07.30,NGS082,金丝李,,,,,,,,,,0.3,
2012.07.30,NGS002,截裂翅子树,,,,,,,,,,0.21,
2012.07.30,NGS057,截裂翅子树,,,,,,,,,,0.2,
2012.07.30,NGS028,假肥牛,,,,,,,,,,0.46,
2012.07.30,NGS036,假肥牛,,,,,,,,,,0.4,
2012.07.30,NGS043,假肥牛,,,,,,,,,,0.67,
2012.07.30,NGS002,鲫鱼胆,,,,,,,,,,0.19,
2012.07.30,NGS034,鲫鱼胆,,,,,,,,,,1.06,
2012.07.30,NGS069,鲫鱼胆,,,,,,,,,,8.65,
2012.07.30,NGS024,火果,,,,,,,,,,1.2,
2012.07.30,NGS055,黄梨木,,,,,,,,,,1.25,
2012.07.30,NGS056,黄梨木,,,,0.5,26,0.01,2,,,2.55,
2012.07.30,NGS068,黄梨木,,,,,,,,,,1.93,
2012.07.30,NGS080,黄梨木,,,,,,,,,,1,
2012.07.30,NGS001,海南椴,,,,,,,,,,0.25,
2012.07.30,NGS004,海南椴,,,,,,,,,,2,
2012.07.30,NGS009,海南椴,,,,,,,,,,0.23,
2012.07.30,NGS051,海南椴,,,,,,,,,,0.44,
2012.07.30,NGS001,海南大风子,,,,,,,,,,0.23,
2012.07.30,NGS082,海南大风子,,,,,,,,,,0.56,
2012.07.30,NGS006,海南菜豆树,,,,,,,,,,0.53,
2012.07.30,NGS011,广西棋子豆,,,,,,,,,,0.85,
2012.07.30,NGS012,广西棋子豆,,,,,,,,,,3.01,
2012.07.30,NGS013,广西棋子豆,,,,,,,,,,3.01,
2012.07.30,NGS014,广西棋子豆,,,,,,,,,,3.79,
2012.07.30,NGS015,广西棋子豆,,,,,,,,,,1.07,
2012.07.30,NGS023,广西棋子豆,,,,,,,,,,1.61,
2012.07.30,NGS003,广西牡荆,,,,2.06,2,,,,,0,
2012.07.30,NGS004,广西牡荆,,,,,,,,,,0.45,
2012.07.30,NGS008,广西牡荆,,,,,,,,,,0.49,
2012.07.30,NGS011,广西牡荆,,,,,,,,,,0.38,
2012.07.30,NGS017,广西牡荆,,,,,,,,,,0.54,
2012.07.30,NGS026,广西牡荆,,,,,,,,,,1.11,
2012.07.30,NGS028,广西牡荆,,,,,,,,,,0.75,
2012.07.30,NGS029,广西牡荆,,,,,,,,,,0.75,
2012.07.30,NGS030,广西牡荆,,,,,,,,,,0.57,
2012.07.30,NGS032,广西牡荆,,,,,,,,,,1.06,
2012.07.30,NGS034,广西牡荆,,,,,,,,,,0.71,
2012.07.30,NGS035,广西牡荆,,,,,,,,,,2.5,
2012.07.30,NGS037,广西牡荆,,,,,,,,,,1.38,
2012.07.30,NGS038,广西牡荆,,,,,,,,,,1.34,
2012.07.30,NGS040,广西牡荆,,,,,,,,,,1.32,
2012.07.30,NGS041,广西牡荆,,,,,,0.47,1,,,0,
2012.07.30,NGS042,广西牡荆,,,,1.02,2,,,,,0.17,
2012.07.30,NGS044,广西牡荆,,,,,,,,,,0.85,
2012.07.30,NGS047,广西牡荆,,,,0.38,2,,,,,0,
2012.07.30,NGS048,广西牡荆,,,,0.67,1,,,,,0.41,
2012.07.30,NGS049,广西牡荆,,,,,,,,,,0.23,
2012.07.30,NGS066,广西牡荆,,,,,,,,,,0.28,
2012.07.30,NGS068,广西牡荆,,,,,,,,,,0.31,
2012.07.30,NGS070,广西牡荆,,,,,,,,,,1.6,
2012.07.30,NGS071,广西牡荆,,,,,,,,,,1.06,
2012.07.30,NGS075,广西牡荆,,,,,,,,,,1,
2012.07.30,NGS079,广西牡荆,,,,,,,,,,1,
2012.07.30,NGS064,广西澄广花,,,,,,,,,,0.59,
2012.07.30,NGS065,广西澄广花,,,,,,,,,,4,
2012.07.30,NGS067,广西澄广花,,,,,,,,,,2.25,
2012.07.30,NGS083,割舌树,,,,,,,,,,0.55,
2012.07.30,NGS085,割舌树,,,,,,,,,,4,
2012.07.30,NGS090,割舌树,,,,,,,,,,1.1,
2012.07.30,NGS010,蜂窝木姜子,,,,,,,,,,0.49,
2012.07.30,NGS009,肥牛树,,,,,,,,,,0.21,
2012.07.30,NGS015,肥牛树,,,,,,,,,,0.49,
2012.07.30,NGS045,肥牛树,,,,,,,,,,0.52,
2012.07.30,NGS014,对叶榕,,,,,,,,,,1.52,
2012.07.30,NGS021,对叶榕,,,,,,,,,,2.6,
2012.07.30,NGS029,对叶榕,,,,,,,,,,0.39,
2012.07.30,NGS030,对叶榕,,,,,,,,,,0.42,
2012.07.30,NGS031,对叶榕,,,,,,,,,,1.17,
2012.07.30,NGS033,对叶榕,,,,,,,,,,0.36,
2012.07.30,NGS034,对叶榕,,,,,,,,,,0.41,
2012.07.30,NGS037,对叶榕,,,,,,,,,,0.49,
2012.07.30,NGS039,对叶榕,,,,,,,,,,1.52,
2012.07.30,NGS040,对叶榕,,,,,,,,,,1.17,
2012.07.30,NGS041,对叶榕,,,,,,,,,,0.83,
2012.07.30,NGS043,对叶榕,,,,,,,,,,2.42,
2012.07.30,NGS088,粗柄槭,,,,,,,,,,1.5,
2012.07.30,NGS077,齿叶黄皮,,,,,,,,,,1,
2012.07.30,NGS001,闭花木,,,,,,,,,,0.65,
2012.07.30,NGS003,闭花木,,,,,,,,,,1.81,
2012.07.30,NGS009,闭花木,,,,,,,,,,0.13,
2012.07.30,NGS027,闭花木,,,,,,,,,,0.42,
2012.07.30,NGS039,闭花木,,,,,,,,,,0.25,
2012.07.30,NGS046,闭花木,,,,,,,,,,2.57,
2012.07.30,NGS049,闭花木,,,,,,,,,,0.47,
2012.07.30,NGS050,闭花木,,,,,,,,,,2.02,
2012.07.30,NGS057,闭花木,,,,,,,,,,2.68,
2012.07.30,NGS058,闭花木,,,,,,,,,,2.17,
2012.07.30,NGS059,闭花木,,,,,,,,,,0.74,
2012.07.30,NGS060,闭花木,,,,,,,,,,3.2,
2012.07.30,NGS061,闭花木,,,,,,,,,,5.23,
2012.07.30,NGS062,闭花木,,,,,,,,,,2.66,
2012.07.30,NGS063,闭花木,,,,,,,,,,1.27,
2012.07.30,NGS064,闭花木,,,,,,,,,,6.67,
2012.07.30,NGS065,闭花木,,,,,,,,,,1.1,
2012.07.30,NGS066,闭花木,,,,,,,,,,1.16,
2012.07.30,NGS067,闭花木,,,,,,,,,,0.63,
2012.07.30,NGS082,闭花木,,,,,,,,,,0.8,
2012.07.30,NGS083,闭花木,,,,,,,,,,4.73,
2012.07.30,NGS084,闭花木,,,,,,,,,,0.66,
2012.07.30,NGS085,闭花木,,,,,,,,,,3.56,
2012.07.30,NGS086,闭花木,,,,,,,,,,4,
2012.07.30,NGS087,闭花木,,,,,,,,,,1.94,
2012.07.30,NGS088,闭花木,,,,,,,,,,2.5,
2012.07.30,NGS089,闭花木,,,,,,,,,,2.42,
2012.07.30,NGS090,闭花木,,,,,,,,,,10,
2012.07.30,NGS002,00na,,,,,,,,,,0.87,
2012.07.30,NGS002,00na,,,,,,,,,,0.42,
2012.07.30,NGS003,00na,,,,,,,,,,1.37,
2012.07.30,NGS004,00na,,,,,,,,,,0.77,
2012.07.30,NGS005,00na,,,,,,,,,,1.23,
2012.07.30,NGS006,00na,,,,0.45,2,,,,,0,
2012.07.30,NGS007,00na,,,,,,,,,,2.16,
2012.07.30,NGS008,00na,,,,,,,,,,3.58,
2012.07.30,NGS008,00na,,,,,,,,,,0.71,
2012.07.30,NGS009,00na,,,,,,,,,,1.66,
2012.07.30,NGS013,00na,,,,,,,,,,2.81,
2012.07.30,NGS015,00na,,,,,,,,,,2.13,
2012.07.30,NGS016,00na,,,,,,,,,,2.24,
2012.07.30,NGS016,00na,,,,,,,,,,1.12,
2012.07.30,NGS018,00na,,,,,,,,,,2.34,
2012.07.30,NGS019,00na,,,,,,,,,,3.97,
2012.07.30,NGS019,00na,,,,,,,,,,0.48,
2012.07.30,NGS020,00na,,,,,,,,,,2.13,
2012.07.30,NGS022,00na,,,,,,,,,,1.82,
2012.07.30,NGS022,00na,,,,,,,,,,1.23,
2012.07.30,NGS025,00na,,,,,,,,,,2.96,
2012.07.30,NGS025,00na,,,,,,,,,,1.91,
2012.07.30,NGS026,00na,,,,,,,,,,2.91,
2012.07.30,NGS027,00na,,,,,,,,,,0.89,
2012.07.30,NGS028,00na,,,,,,,,,,0.95,
2012.07.30,NGS029,00na,,,,,,,,,,2.8,
2012.07.30,NGS030,00na,,,,,,,,,,1.79,
2012.07.30,NGS033,00na,,,,,,,,,,2,
2012.07.30,NGS034,00na,,,,,,,,,,1.41,
2012.07.30,NGS042,00na,,,,,,,,,,2.87,
2012.07.30,NGS043,00na,,,,,,,,,,1.69,
2012.07.30,NGS045,00na,,,,,,,,,,2.52,
2012.07.30,NGS047,00na,,,,,,,,,,2.97,
2012.07.30,NGS047,00na,,,,1.58,3,,,,,0,
2012.07.30,NGS048,00na,,,,,,,,,,1.73,
2012.07.30,NGS049,00na,,,,,,,,,,1.13,
2012.07.30,NGS051,00na,,,,,,,,,,0.91,
2012.07.30,NGS052,00na,,,,,,,,,,0.75,
2012.07.30,NGS054,00na,,,,,,,,,,0.23,
2012.07.30,NGS055,00na,,,,,,,,,,1.64,
2012.07.30,NGS059,00na,,,,,,,,,,1.22,
2012.07.30,NGS064,00na,,,,,,,,,,0.46,
2012.07.30,NGS066,00na,,,,,,,,,,0.7,
2012.07.30,NGS068,00na,,,,,,,,,,1.31,
2012.07.30,NGS069,00na,,,,,,,,,,9.62,
2012.07.30,NGS069,00na,,,,,,,,,,0.81,
2012.07.30,NGS070,00na,,,,,,,,,,0.44,
2012.07.30,NGS071,00na,,,,,,,,,,1.53,
2012.07.30,NGS071,00na,,,,,,,,,,1.5,
2012.07.30,NGS072,00na,,,,,,,,,,0.7,
2012.07.30,NGS073,00na,,,,,,,,,,1,
2012.07.30,NGS074,00na,,,,,,,,,,4.1,
2012.07.30,NGS075,00na,,,,,,,,,,4,
2012.07.30,NGS076,00na,,,,,,,,,,2.97,
2012.07.30,NGS077,00na,,,,,,,,,,2.4,
2012.07.30,NGS078,00na,,,,,,,,,,2.03,
2012.07.30,NGS078,00na,,,,,,,,,,1.8,
2012.07.30,NGS079,00na,,,,,,,,,,2.16,
2012.07.30,NGS079,00na,,,,,,,,,,2,
2012.07.30,NGS080,00na,,,,,,,,,,2.51,
2012.07.30,NGS081,00na,,,,,,,,,,1.52,
2012.08.07,NGS001,大叶榕,,,,,,,,,,0.5,
2012.08.07,NGS015,大叶榕,,,,,,,,,,0.48,
2012.08.07,NGS021,大叶榕,,,,,,,,,,4.35,
2012.08.07,NGS027,大叶榕,,,,,,,,,,3.16,
2012.08.07,NGS028,大叶榕,,,,,,,,,,0.8,
2012.08.07,NGS031,大叶榕,,,,,,,,,,1.2,
2012.08.07,NGS033,大叶榕,,,,,,,,,,1.57,
2012.08.07,NGS039,大叶榕,,,,,,,,,,1.44,
2012.08.07,NGS055,黄梨木,,,,,,,,,,2.11,
2012.08.07,NGS056,黄梨木,,,,,,,,,,6.14,
2012.08.07,NGS068,黄梨木,,,,,,,,,,2.2,
2012.08.07,NGS038,米仔兰,,,,,,,,,,0.63,
2012.08.07,NGS012,苹婆,,,,,,,,,,1.26,
2012.08.07,NGS070,广西牡荆,3.98,5,,,,,,,,4.02,
2012.08.07,NGS086,羽叶白头树,3.86,9,,,,,,,,2,
2012.08.07,NGS073,中越杜茎山,,,,,,,,,,0.6,
2012.08.07,NGS012,中国无忧花,,,,,,,,,,1.52,
2012.08.07,NGS013,中国无忧花,,,,,,,,,,3.12,
2012.08.07,NGS014,中国无忧花,,,,,,,,,,10.8,
2012.08.07,NGS002,截裂翅子树,,,,,,,,,,0.71,
2012.08.07,NGS003,截裂翅子树,,,,,,,,,,0.64,
2012.08.07,NGS008,羽叶白头树,,,,,,,,,,7.48,
2012.08.07,NGS042,羽叶白头树,,,,,,,,,,1.32,
2012.08.07,NGS048,羽叶白头树,,,,,,,,,,0.39,
2012.08.07,NGS049,羽叶白头树,,,,,,,,,,0.76,
2012.08.07,NGS069,羽叶白头树,,,,,,,,,,10,
2012.08.07,NGS074,羽叶白头树,,,,,,,,,,4.47,
2012.08.07,NGS075,羽叶白头树,,,,,,,,,,4,
2012.08.07,NGS089,羽叶白头树,,,,,,,,,,5.2,
2012.08.07,NGS051,鱼骨木,,,,,,,,,,0.25,
2012.08.07,NGS052,鱼骨木,,,,,,,,,,5.97,
2012.08.07,NGS053,鱼骨木,,,,,,,,,,1.81,
2012.08.07,NGS054,鱼骨木,,,,,,,,,,2.64,
2012.08.07,NGS055,鱼骨木,,,,,,,,,,0.83,
2012.08.07,NGS056,鱼骨木,,,,,,,,,,0.3,
2012.08.07,NGS059,鱼骨木,,,,,,,,,,0.3,
2012.08.07,NGS077,鱼骨木,,,,,,,,,,0.5,
2012.08.07,NGS060,小叶榕,,,,,,,,,,5.03,
2012.08.07,NGS001,蚬木,,,,,,,,,,0.56,
2012.08.07,NGS058,蚬木,,,,,,,,,,3,
2012.08.07,NGS060,蚬木,,,,,,,,,,1.6,
2012.08.07,NGS081,蚬木,,,,,,,,,,4,
2012.08.07,NGS082,蚬木,,,,,,,,,,2.1,
2012.08.07,NGS084,蚬木,,,,,,,,,,1,
2012.08.07,NGS088,蚬木,,,,,,,,,,2.7,
2012.08.07,NGS051,细叶谷木,,,,,,,,,,0.3,
2012.08.07,NGS052,细叶谷木,,,,,,,,,,3,
2012.08.07,NGS053,细叶谷木,,,,,,,,,,1.32,
2012.08.07,NGS005,未知2,,,,,,,,,,0.52,
2012.08.07,NGS007,未知2,,,,,,,,,,0.84,
2012.08.07,NGS027,未知2,,,,,,,,,,1.23,
2012.08.07,NGS042,未知2,,,,,,,,,,0.3,
2012.08.07,NGS055,未知2,,,,,,,,,,2.23,
2012.08.07,NGS071,未知2,,,,,,,,,,5,
2012.08.07,NGS005,未知1 ,,,,,,,,,,0.77,
2012.08.07,NGS007,未知1 ,,,,,,,,,,0.45,
2012.08.07,NGS027,未知1 ,,,,,,,,,,0.86,
2012.08.07,NGS042,未知1 ,,,,,,,,,,0.99,
2012.08.07,NGS055,未知1 ,,,,,,,,,,2,
2012.08.07,NGS071,未知1 ,,,,,,,,,,5.1,
2012.08.07,NGS003,未知,,,,,,,,,,1.91,
2012.08.07,NGS006,未知,,,,,,,,,,0.97,
2012.08.07,NGS009,未知,,,,,,,,,,1.03,
2012.08.07,NGS025,未知,,,,,,,,,,0.45,
2012.08.07,NGS043,未知,,,,,,,,,,0.48,
2012.08.07,NGS044,未知,,,,,,,,,,0.91,
2012.08.07,NGS051,未知,,,,,,,,,,1.7,
2012.08.07,NGS059,未知,,,,,,,,,,2,
2012.08.07,NGS062,未知,,,,,,,,,,4,
2012.08.07,NGS064,未知,,,,,,,,,,0.87,
2012.08.07,NGS068,未知,,,,,,,,,,0.98,
2012.08.07,NGS069,未知,,,,,,,,,,3,
2012.08.07,NGS072,未知,,,,,,,,,,0.95,
2012.08.07,NGS076,未知,,,,,,,,,,5,
2012.08.07,NGS077,未知,,,,,,,,,,2,
2012.08.07,NGS078,未知,,,,,,,,,,2,
2012.08.07,NGS080,未知,,,,,,,,,,4,
2012.08.07,NGS081,未知,,,,,,,,,,3,
2012.08.07,NGS085,未知,,,,,,,,,,4,
2012.08.07,NGS086,未知,,,,,,,,,,0.6,
2012.08.07,NGS087,未知,,,,,,,,,,5,
2012.08.07,NGS065,网脉核果木,,,,,,,,,,0.3,
2012.08.07,NGS067,网脉核果木,,,,,,,,,,1.48,
2012.08.07,NGS087,网脉核果木,,,,,,,,,,0.8,
2012.08.07,NGS081,歪叶榕,,,,,,,,,,1,
2012.08.07,NGS088,歪叶榕,,,,,,,,,,1,
2012.08.07,NGS034,藤,,,,,,1.41,3,,,0,
2012.08.07,NGS019,藤,,,,,,,,,,0,
2012.08.07,NGS047,藤,,,,,,1.07,1,,,0,
2012.08.07,NGS005,滕春,,,,,,,,,,0.77,
2012.08.07,NGS017,滕春,,,,,,,,,,0.55,
2012.08.07,NGS070,日本五月茶,,,,,,,,,,4,
2012.08.07,NGS074,日本五月茶,,,,,,,,,,4,
2012.08.07,NGS075,日本五月茶,,,,,,,,,,2.1,
2012.08.07,NGS077,日本五月茶,,,,,,,,,,4,
2012.08.07,NGS078,日本五月茶,,,,,,,,,,1,
2012.08.07,NGS079,日本五月茶,,,,,,,,,,0.97,
2012.08.07,NGS073,石山榕,,,,,,,,,,2.5,
2012.08.07,NGS050,山榄叶柿,,,,,,,,,,0.61,
2012.08.07,NGS082,山榄叶柿,,,,,,,,,,1.1,
2012.08.07,NGS051,桑枝米碎木,,,,,,,,,,0.45,
2012.08.07,NGS054,桑枝米碎木,,,,,,,,,,0.63,
2012.08.07,NGS055,桑枝米碎木,,,,,,,,,,3.19,
2012.08.07,NGS056,桑枝米碎木,,,,,,,,,,1.1,
2012.08.07,NGS078,桑枝米碎木,,,,,,,,,,0.8,
2012.08.07,NGS067,三角车,,,,,,,,,,2,
2012.08.07,NGS088,三角车,,,,,,,,,,3,
2012.08.07,NGS005,日本五月茶,,,,,,,,,,0.32,
2012.08.07,NGS015,日本五月茶,,,,,,,,,,0.63,
2012.08.07,NGS016,日本五月茶,,,,,,,,,,0.66,
2012.08.07,NGS056,清香木,,,,,,,,,,3,
2012.08.07,NGS010,广西棋子豆 ,,,,,,,,,,2.35,
2012.08.07,NGS011,广西棋子豆 ,,,,,,,,,,1.49,
2012.08.07,NGS012,广西棋子豆 ,,,,,,,,,,2.97,
2012.08.07,NGS013,广西棋子豆 ,,,,,,,,,,2.68,
2012.08.07,NGS014,广西棋子豆 ,,,,,,,,,,3.47,
2012.08.07,NGS015,广西棋子豆 ,,,,,,,,,,2.67,
2012.08.07,NGS016,广西棋子豆 ,,,,,,,,,,0.69,
2012.08.07,NGS018,广西棋子豆 ,,,,,,,,,,3.33,
2012.08.07,NGS020,广西棋子豆 ,,,,,,,,,,1.56,
2012.08.07,NGS022,广西棋子豆 ,,,,,,,,,,2.13,
2012.08.07,NGS023,广西棋子豆 ,,,,,,,,,,5.15,
2012.08.07,NGS005,苹婆,,,,,,,,,,0.3,
2012.08.07,NGS007,苹婆,,,,,,,,,,0.21,
2012.08.07,NGS008,苹婆,,,,,,,,,,0.85,
2012.08.07,NGS009,苹婆,,,,,,,,,,2.32,
2012.08.07,NGS010,苹婆,,,,,,,,,,1.04,
2012.08.07,NGS011,苹婆,,,,,,,,,,2.33,
2012.08.07,NGS015,苹婆,,,,,,,,,,0.75,
2012.08.07,NGS016,苹婆,,,,,,,,,,1.02,
2012.08.07,NGS017,苹婆,,,,,,,,,,0.56,
2012.08.07,NGS018,苹婆,,,,,,,,,,0.88,
2012.08.07,NGS020,苹婆,,,,,,,,,,0.49,
2012.08.07,NGS021,苹婆,,,,,,,,,,1.63,
2012.08.07,NGS024,苹婆,,,,,,,,,,0.93,
2012.08.07,NGS026,苹婆,,,,,,,,,,1.86,
2012.08.07,NGS027,苹婆,,,,,,,,,,1.43,
2012.08.07,NGS036,苹婆,,,,,,,,,,3.11,
2012.08.07,NGS043,苹婆,,,,,,,,,,4.23,
2012.08.07,NGS069,苹婆,,,,,,,,,,1.01,
2012.08.07,NGS071,苹婆,,,,,,,,,,1.06,
2012.08.07,NGS072,苹婆,,,,,,,,,,4.41,
2012.08.07,NGS073,苹婆,,,,,,,,,,1,
2012.08.07,NGS074,苹婆,,,,,,,,,,1.1,
2012.08.07,NGS090,苹婆,,,,,,,,,,2.53,
2012.08.07,NGS022,苹果榕,,,,,,,,,,0.99,
2012.08.07,NGS019,南烛厚壳桂,,,,,,,,,,4.16,
2012.08.07,NGS025,南烛厚壳桂,,,,,,,,,,1.93,
2012.08.07,NGS006,米扬噎,,,,,,,,,,2.78,
2012.08.07,NGS048,米扬噎,,,,,,,,,,0.72,
2012.08.07,NGS072,米扬噎,,,,,,,,,,5,
2012.08.07,NGS007,卵叶铁苋菜,,,,,,,,,,0.44,
2012.08.07,NGS009,卵叶铁苋菜,,,,,,,,,,1.14,
2012.08.07,NGS040,卵叶铁苋菜,,,,,,,,,,0.37,
2012.08.07,NGS041,卵叶铁苋菜,,,,,,,,,,0.95,
2012.08.07,NGS045,卵叶铁苋菜,,,,,,,,,,0.96,
2012.08.07,NGS033,金丝李,,,,,,,,,,1.47,
2012.08.07,NGS036,金丝李,,,,,,,,,,2.55,
2012.08.07,NGS041,金丝李,,,,,,,,,,1.76,
2012.08.07,NGS080,金丝李,,,,,,,,,,4.27,
2012.08.07,NGS081,金丝李,,,,,,,,,,1.2,
2012.08.07,NGS057,截裂翅子树,,,,,,,,,,2,
2012.08.07,NGS035,假玉桂,,,,,,,,,,0.58,
2012.08.07,NGS030,假肥牛,,,,,,,,,,0.69,
2012.08.07,NGS036,假肥牛,,,,,,,,,,1.57,
2012.08.07,NGS037,假肥牛,,,,,,,,,,3.09,
2012.08.07,NGS002,鲫鱼胆,,,,,,,,,,0.31,
2012.08.07,NGS069,鲫鱼胆,,,,,,,,,,5,
2012.08.07,NGS024,火果,,,,,,,,,,0.91,
2012.08.07,NGS054,华南皂荚,,,,,,,,,,0.35,
2012.08.07,NGS045,海南椴,,,,,,,,,,0.56,
2012.08.07,NGS049,海南椴,,,,,,,,,,0.68,
2012.08.07,NGS051,海南椴,,,,,,,,,,1.31,
2012.08.07,NGS074,海南椴,,,,,,,,,,0.6,
2012.08.07,NGS083,海南椴,,,,,,,,,,0.68,
2012.08.07,NGS066,海南大风子,,,,,,,,,,0.85,
2012.08.07,NGS072,海南大风子,,,,,,,,,,1.93,
2012.08.07,NGS006,海南菜豆树,,,,,,,,,,0.84,
2012.08.07,NGS002,广西牡荆,,,,,,,,,,1.99,
2012.08.07,NGS004,广西牡荆,,,,,,,,,,0.48,
2012.08.07,NGS004,广西牡荆,,,,,,,,,,0,
2012.08.07,NGS006,广西牡荆,,,,,,,,,,0.74,
2012.08.07,NGS007,广西牡荆,,,,,,,,,,0.93,
